Procuraduría Agraria 	 procuraduria-agraria 	 Ubicación geográfica de las Delegaciones y Residencias 	 http://www.pa.gob.mx/datosabiertos/Direcciones-Delegaciones-y-residencias-PA.csv 	 200 	 0 	 Wed Jan 13 11:53:15 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes devueltos por las autoridades migratorias mexicanas a Guatemala 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Dev_auto_migr_MEX_Guatemala/FGUA_2014.csv 	 200 	 0 	 Wed Jan 13 11:54:38 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes procedentes de México o Estados Unidos a Guatemala 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Proc_MEX_Guatemala/PMEXEUA_2014.csv 	 200 	 0 	 Wed Jan 13 11:54:38 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes devueltos por las autoridades migratorias mexicanas a El Salvador 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Dev_auto_migr_MEX_El_Salvador/FSAL_2014.csv 	 200 	 1 	 Wed Jan 13 11:54:39 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes devueltos por las autoridades migratorias estadounidenses a Guatemala 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Dev_auto_migr_EUA_Guatemala/AGUA_2014.csv 	 200 	 0 	 Wed Jan 13 11:54:39 CST 2016
CONAPO 	 conapo 	 Flujo de migrantes devueltos por las autoridades migratorias estadounidenses a Honduras 2014 	 http://www.conapo.gob.mx/work/models/OMI/Datos_Abiertos/EMIF_SUR_2014/Dev_auto_migr_EUA_Honduras/AHON_2014.csv 	 200 	 0 	 Wed Jan 13 11:54:39 CST 2016
ISSFAM 	 issfam 	 Plan de Apertura Institucional de ISSFAM 	 http://adela.datos.gob.mx/plan-de-apertura/issfam/export.csv 	 200 	 0 	 Wed Jan 13 11:54:39 CST 2016
ISSFAM 	 issfam 	 Créditos Hipotecarios otorgados a los militares en situación de activo 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_creditos_hipotecarios.csv 	 000 	 1 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Inventario Institucional de Datos de ISSFAM 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/458/Inventario_general_de_datos.xlsx 	 200 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Servidores Públicos del ISSFAM 	 http://www.internet.issfam.gob.mx/DatosAbiertos/capitalhumano.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Militares en situación de retiro con derecho a percibir Haber de Retiro 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_haber_ret.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Pensionistas con derecho a percibir pensión por Entidad Federativa 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_pensionistas.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Seguros de Vida Militar otorgados por la muerte e incapacidad de los Militares en activo y muerte en situación de retiro 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_sevimi.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Seguro Colectivo de Retiro otorgados por una sola vez a los que pasen a situación de retiro y hayan prestado veinte o más años de servicios efectivos 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_secore.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Devolución del seguro colectivo de retiro otorgados a los miembros de las Fuerzas Armadas que hayan prestado menos de 20 años de servicio 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_dev_secore.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
ISSFAM 	 issfam 	 Devolución del fondo de vivienda militar otorgados a los militares que dejan de pertenecer al servicio activo o disfrute de licencia ilimitada o en caso de muerte 	 http://www.internet.issfam.gob.mx/DatosAbiertos/base_dev_fovimi.csv 	 000 	 0 	 Wed Jan 13 11:54:40 CST 2016
SEDENA 	 sedena 	 Cantidad de personas que liberó su cartilla de identidad del servicio militar nacional, dentro del territorio Nacional, del año 2000 al 2014 	 http://www.sedena.gob.mx/archivos/datosabiertos/estadisticasSMN.xlsx 	 time_out 	 10 	 Wed Jan 13 11:54:50 CST 2016
SEDENA 	 sedena 	 Cantidad de personas que liberó su cartilla de identidad del servicio militar nacional, fuera del territorio Nacional, del año 2000 al 2014 	 http://www.sedena.gob.mx/archivos/datosabiertos/extranjeroSMN.xlsx 	 time_out 	 10 	 Wed Jan 13 11:55:00 CST 2016
SEDENA 	 sedena 	 Cantidad de personas que cumplieron su Servicio Militar Nacional en el territorio Nacional, encuadrados en una Compañía del Servicio Militar Nacional en los años 2013 y 2014 	 http://www.sedena.gob.mx/archivos/datosabiertos/encuadradosSMN.xlsx 	 time_out 	 10 	 Wed Jan 13 11:55:10 CST 2016
SEDENA 	 sedena 	 Cantidad de armas registradas por diferentes motivos por estados en los años 2014 y 2015. 	 http://www.sedena.gob.mx/archivos/datosabiertos/armasregistradasdifmotv.xlsx 	 time_out 	 10 	 Wed Jan 13 11:55:20 CST 2016
SEDENA 	 sedena 	 Tabla con cantidad de Licencias particulares individuales de portación de armas de fuego vigentes por entidad federativa en los años 2014 y 2015.  	 http://www.sedena.gob.mx/archivos/datosabiertos/Licenciasparticulares.xlsx 	 time_out 	 10 	 Wed Jan 13 11:55:30 CST 2016
imt 	 imt 	 Conjunto de mapas que integra diversos elementos que conforman las vías de comunicación que permiten el tránsito de vehículos automotores por los caminos nacionales. 	 http://nube.imt.mx/index.php/s/qlL3OpQAQxIC5Bc 	 time_out 	 10 	 Wed Jan 13 11:55:40 CST 2016
CSAEGRO 	 csaegro 	 Plan de Apertura Institucional de CSAEGRO 	 http://adela.datos.gob.mx/plan-de-apertura/csaegro/export.csv 	 200 	 1 	 Wed Jan 13 11:55:41 CST 2016
CSAEGRO 	 csaegro 	 Inventario Institucional de Datos de CSAEGRO 	 https://adela-production.s3.amazonaws.com/uploads/inventory/spreadsheet_file/1210/Inventario_General_de_datos_CSAEGRO__1_.xlsx 	 200 	 0 	 Wed Jan 13 11:55:41 CST 2016
PROSPERA 	 prospera 	 Número de Familias beneficiarias por localidad de los Programas PAL y PROSPERA bimestre Mar-Abr 2014 	 https://www.prospera.gob.mx/php/Datos%20Abiertos/2_cobertura_atencion_familias/2014/familias_20142.txt 	 200 	 1 	 Wed Jan 13 11:55:42 CST 2016
PROSPERA 	 prospera 	 Número de Familias beneficiarias por localidad de los Programas PAL y PROSPERA bimestre Jul-Ago 2014 	 https://www.prospera.gob.mx/php/Datos%20Abiertos/2_cobertura_atencion_familias/2014/familias_20144.txt 	 200 	 0 	 Wed Jan 13 11:55:42 CST 2016
PROSPERA 	 prospera 	 Número de Familias beneficiarias por localidad de los Programas PAL y PROSPERA bimestre Ene-Feb 2014 	 https://www.prospera.gob.mx/php/Datos%20Abiertos/2_cobertura_atencion_familias/2014/familias_20141.txt 	 200 	 1 	 Wed Jan 13 11:55:43 CST 2016
PROSPERA 	 prospera 	 Número de Familias beneficiarias por localidad de los Programas PAL y PROSPERA bimestre May-Jun 2014 	 https://www.prospera.gob.mx/php/Datos%20Abiertos/2_cobertura_atencion_familias/2014/familias_20143.txt 	 200 	 0 	 Wed Jan 13 11:55:43 CST 2016
PROSPERA 	 prospera 	 Número de Familias beneficiarias por localidad de los Programas PAL y PROSPERA bimestre Sep-Oct 2014 	 https://www.prospera.gob.mx/php/Datos%20Abiertos/2_cobertura_atencion_familias/2014/familias_20145.txt 	 200 	 1 	 Wed Jan 13 11:55:44 CST 2016
PROSPERA 	 prospera 	 Número de Familias beneficiarias por localidad de los Programas PAL y PROSPERA bimestre Nov-Dic 2014 	 https://www.prospera.gob.mx/php/Datos%20Abiertos/2_cobertura_atencion_familias/2014/familias_20146.txt 	 200 	 1 	 Wed Jan 13 11:55:45 CST 2016
