"dep"|"slug"|"rec"|"rec_url"
"Estado de Veracruz"|"estado-de-veracruz"|"Operativos de alcoholimetria, en donde se revisa que los ciudadanos no conduzcan vehiculos en estado de ebriedad y porten sus documentos en regla segun la normatividad de la Ley de Transito y Seguridad Vial del Estado y su reglamento."|"https://www.dropbox.com/s/otr4brb9x4v706p/Transito_Alcoholimetria_periodo_enero2015_julio2015.csv?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"susceptibilidad por deslizamiento en localidades del estado de Veracruz"|"https://www.dropbox.com/s/94g4dv4nahaht9o/LOCALIDADES%20SUSCEPTIBLES%20A%20DESLIZAMIENTO%20EN%20EL%20ESTADO.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"Plan de Apertura Institucional de Estado de Veracruz"|"http://adela.datos.gob.mx/plan-de-apertura/estado-de-veracruz/export.csv"
"Estado de Veracruz"|"estado-de-veracruz"|"Convenios entre las partes afectadas para cubrir los daños de las unidades, aplicando sanción por una violacion a la Ley y/o Reglamento de Transito y Seguidad Vial."|"https://www.dropbox.com/s/8tre3vyg6yybbo1/Transito_Accidentes_Automovilisticos_periodo_enero2015_julio2015.csv?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"Autorizacion para aprovechamientos en terrenos no Forestales"|"https://drive.google.com/folderview?id=0B87bmmJLaLIgfjlqeG9vZnhieGVZX3U3V0Z4NTlqT2k3aXNTOW5ZcEplRXZhR0lqWERYbTg&usp=sharing&tid=0B87bmmJLaLIgfjcxYVVqSF9YVnpjcmh6M2dfVkRfYWNUb2tUNE5rRDl0QXR5bVpoa3hwTUk"
"Estado de Veracruz"|"estado-de-veracruz"|"Directorio con información de contacto por CERESO, horarios de atención y coordenadas geograficas"|"https://www.dropbox.com/s/kp15cm12o3gudvk/Reinsercion_Social_CERESOS.csv?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"escuelas en zonas susceptibles a inundacion"|"https://www.dropbox.com/s/83u1wzkkfppu0uw/ESCUELAS%20EN%20ZONAS%20SUSCEPTIBLES%20A%20INUNDACION.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"Donacion de Plantas 2014"|"https://drive.google.com/folderview?id=0B87bmmJLaLIgfnFSS21ET3hpbGR2c3dHWmN4UHN2aHhZX3RHajNsX0YzV2JGMGlORFFnYU0&usp=sharing&tid=0B87bmmJLaLIgfjcxYVVqSF9YVnpjcmh6M2dfVkRfYWNUb2tUNE5rRDl0QXR5bVpoa3hwTUk"
"Estado de Veracruz"|"estado-de-veracruz"|"Sanciones impuestas por violaciones a la Ley y/o Reglamento de Transito y Seguidad Vial del Estado."|"https://www.dropbox.com/s/jhwgu7az7dsk82i/Transito_Infracciones_periodo_enero2015_julio2015.csv?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"localidades en areas susceptibles a incedio forestal"|"https://www.dropbox.com/s/6mo376pta2r8k7k/LOCALIDADES%20EN%20AREAS%20SUSCEPTIBLES%20A%20INCENDIOS%20FORESTALES.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"localidades susceptibles a inundacion"|"https://www.dropbox.com/s/cpfadjbgj8igyv5/LOCALIDADES%20SUSCEPTIBLES%20A%20INUNDACION.xlsx?dl=0"
"Estado de Veracruz"|"estado-de-veracruz"|"Achipielago de los bosques y selvas de la region de Xalapa y su Zona Conurbada"|"https://drive.google.com/folderview?id=0B87bmmJLaLIgfjVnSG5rVFRjVzc0eUtOb1lscUpwamtUN19hMXVXNDIxVi1fU1lFNHhiLUE&usp=sharing&tid=0B87bmmJLaLIgfjcxYVVqSF9YVnpjcmh6M2dfVkRfYWNUb2tUNE5rRDl0QXR5bVpoa3hwTUk"
